fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews
River Crossing IQ Logic Puzzles & Fun Brain Games,androyal,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,board,,,free,0.0,4.2,"41,132",41132
Rush,ketchapp,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,1.99,1.99,free,0.0,4.5,"360,386",360386
The Wiki Game,roey vidan,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,educational,,,free,0.0,4.6,"2,639",2639
Criminal Case,pretty simple,1.0,1.0,1.0,0.0,0.0,1.0,1,12+,0.0,100000000.0,adventure,1.09,109.99,free,0.0,4.6,"4,052,144",4052144
SCRABBLE?,electronic arts,1.0,1.0,1.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,word,1.09,54.99,free,0.0,3.9,"347,547",347547
Yatzy World,world board games,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,500000.0,board,2.08,7.82,free,0.0,4.4,"12,592",12592
Riddle Stones - Cross Numbers,ooblada,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,0.99,79.00,free,0.0,4.3,"20,723",20723
Pocket City Free,codebrew games,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,,,free,0.0,3.9,"10,299",10299
Nonograms Katana,ucdevs,1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,1000000.0,puzzle,0.89,1.79,free,0.0,4.8,"127,157",127157
What's inside the box?,bart bonte,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.98,1.98,free,0.0,4.4,"24,017",24017
Super Adventures of Teddy,bun studio,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,adventure,1.09,5.49,free,0.0,4.2,"7,879",7879
Pigeon Pop,fortafy games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,action,1.99,1.99,free,0.0,4.5,"54,072",54072
Silly Walks,part time monkey,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,adventure,1.09,21.99,free,0.0,4.1,"26,223",26223
Doctor Game <U+0001F468><U+0001F3FB><U+200D><U+2695><U+FE0F> <U+0001F3E5><U+0001F469><U+0001F3FB><U+200D><U+2695><U+FE0F>,abuzz,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,role playing,1.99,1.99,free,0.0,4.0,"19,831",19831
Supermarket: Shopping Games for Kids,hippo kids games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,educational,0.99,3.59,free,0.0,4.4,"84,458",84458
Dragon City,social point,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,simulation,1.09,149.99,free,0.0,4.6,"7,187,112",7187112
Bloons TD Battles,ninja kiwi,1.0,1.0,0.0,1.0,0.0,0.0,1,everyone,0.0,10000000.0,strategy,0.80,119.99,free,0.0,4.4,"809,024",809024
Backup for Fallout Shelter,alexandre zara,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,simulation,,,free,0.0,3.9,"1,694",1694
Fallout Shelter,bethesda softworks llc,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,1.09,109.99,free,0.0,4.7,"3,079,394",3079394
Tigerball,laxarus,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.61,9.67,free,0.0,4.4,"430,136",430136
Medieval Clicker - Epic Rpg Idle Incremental Game,noxfall studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,role playing,0.99,99.99,free,0.0,4.2,"5,616",5616
