appname,fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews,Released,Last Updated,CompanyIsExperienced
com.two.bros.games.dot.to.dot,Dot to Dot : Connect the Dots,dot to dot s.r.o.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.59,59.99,free,0.0,4.1,"80,235",80235,"Aug 19, 2017","Aug 17, 2020",False
com.kathleenOswald.solitaireGooglePlay,Solitaire,zynga,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,card,0.99,349.99,free,0.0,4.3,"632,907",632907,"Dec 26, 2013","Nov 25, 2020",True
com.leftover.CoinDozer,Coin Dozer - Free Prizes,game circus llc,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,50000000.0,casino,0.59,105.00,free,0.0,4.6,"1,333,357",1333357,"Jun 27, 2011","Oct 30, 2020",True
com.crowdstar.covetHome,Design Home,crowdstar inc,1.0,1.0,0.0,1.0,0.0,1.0,1,everyone,0.0,10000000.0,simulation,1.09,109.99,free,0.0,4.4,"733,062",733062,"Nov 16, 2016","Nov 19, 2020",True
com.sng.yatzy,Yatzy - Offline Free Dice Games,sng games,0.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000.0,board,,,free,0.0,4.5,"16,226",16226,"Mar 22, 2018","Nov 21, 2020",True
com.absolutist.bubbleshooterclassicfree,Bubble Shooter Classic Free,absolutist ltd,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,arcade,0.99,4.99,free,0.0,4.2,"2,306",2306,"Jul 30, 2013","Oct 02, 2020",True
com.rottzgames.mastermind,Mastermind,rottz games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,3.34,3.34,free,0.0,4.6,"18,467",18467,"Mar 20, 2015","Jul 28, 2020",True
bubble.shooter.shooting.shoot.game,Bubble Shooter,candy bubble studio,0.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,casual,,,free,0.0,4.3,"426,723",426723,"Aug 22, 2016","Nov 24, 2020",False
pl.lukok.chess,Chess,chess & checkers lukasz oktaba,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,0.59,9.99,free,0.0,4.5,"56,086",56086,"Oct 23, 2018","Nov 20, 2020",True
com.klikapp.freeiqtest,What's my IQ? <U+0001F4AF>,klikapp,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,3.8,"7,692",7692,"Jun 11, 2017","Jun 18, 2020",True
