purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
0,1,0,0,0,everyone,0,0,Trivia,0,1,0.05,4.3,-0.36294242,0.390975656,-0.141901651
1,1,0,0,1,everyone,0,0,Racing,0,1,7.76,4.1,2.582647603,-0.156672227,-0.404629151
1,1,0,1,1,16+,0,0,Music,0,1,0.6,3.9,-0.152816024,-0.70432011,0.107631399
1,1,0,0,1,7+,0,0,Strategy,0,0,0.22,4.3,-0.297994262,0.390975656,-0.116508502
1,1,0,1,0,7+,0,0,Racing,1,1,7.89,4.3,2.632313842,0.390975656,1.029170631
1,1,0,0,1,everyone,0,0,Board,0,1,0.69,4.3,-0.118431705,0.390975656,-0.046303914
1,1,0,0,0,18+,0,0,Action,0,1,22.75,4.4,8.309547012,0.664799597,5.524183508
1,1,0,0,1,everyone,0,0,Arcade,0,1,0.94,4.3,-0.022919707,0.390975656,-0.008961047
1,1,0,0,1,12+,0,0,Sports,0,1,1.85,4.4,0.324743966,0.664799597,0.215889658
1,1,0,0,1,12+,0,0,Sports,0,1,0.45,4.1,-0.210123223,-0.156672227,0.032920473
1,1,0,0,1,12+,0,0,Role Playing,0,1,3.41,3.8,0.920738835,-0.978144051,-0.900615214
1,1,1,1,0,everyone,0,0,Racing,0,1,2.39,4.2,0.531049882,0.117151715,0.062213404
1,1,0,0,1,everyone,0,0,Sports,0,0,1.88,4.3,0.336205406,0.390975656,0.131448129
1,1,0,0,0,everyone,0,0,Racing,0,1,3.14,4.1,0.817585877,-0.156672227,-0.128093
1,1,0,0,0,everyone,0,0,Arcade,0,1,1.92,3.7,0.351487326,-1.251967993,-0.440050882
1,1,0,0,0,everyone,0,0,Action,1,1,1.52,4.2,0.198668129,0.117151715,0.023274312
1,0,0,1,0,everyone,0,0,Board,0,0,0.03,3.8,-0.37058338,-0.978144051,0.362483929
1,1,0,0,0,everyone,0,0,Racing,0,1,0.96,4.4,-0.015278747,0.664799597,-0.010157305
1,1,0,0,1,12+,0,0,Action,0,1,5.69,4.1,1.791808258,-0.156672227,-0.28072659
1,1,0,0,1,everyone,0,0,Puzzle,0,1,0.04,4.3,-0.3667629,0.390975656,-0.143395366
1,1,0,0,0,everyone,0,0,Arcade,0,1,2.01,4.2,0.385871645,0.117151715,0.045205525
1,1,0,0,0,7+,0,0,Puzzle,0,1,3.03,4.3,0.775560598,0.390975656,0.303225313
1,1,0,0,0,everyone,0,0,Arcade,0,1,4.86,4.3,1.474708424,0.390975656,0.576575093
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.45,4.2,-0.210123223,0.117151715,-0.024616296
